name,website,industry_name,spend_2023
Apple Inc.,https://www.apple.com,Technology,1000000
Nike Inc.,https://www.nike.com,Consumer Goods,2500000
Microsoft Corporation,https://www.microsoft.com,Software/IT,3200000
Tesla Inc.,https://www.tesla.com,Automotive,4500000
Amazon.com Inc.,https://www.amazon.com,E-Commerce,5000000
Siemens AG,https://www.siemens.com,Industrial Manufacturing,2800000
BASF SE,https://www.basf.com,Chemicals,3100000
Unilever PLC,https://www.unilever.com,Consumer Goods,2200000
Nestlé USA Inc.,https://www.nestle.com,Food & Beverage,2000000
Toyota Motor Corporation,https://www.toyota.com,Automotive Manufacturing,4200000
Samsung Electronics,https://www.samsung.com,Consumer Electronics,3800000
Volkswagen Group,https://www.volkswagen.com,Automotive Manufacturing,3500000
ExxonMobil Corporation,https://www.exxonmobil.com,Oil & Gas,6000000
BP plc,https://www.bp.com,Oil & Gas,5500000
Deutsche Post DHL Group,https://www.dhl.com,Logistics/Transportation,2300000
FedEx Corporation,https://www.fedex.com,Logistics/Transportation,2900000
Adidas AG,https://www.adidas-group.com,Apparel & Footwear,2100000
HSBC Holdings plc,https://www.hsbc.com,Financial Services,1800000
JPMorgan Chase & Co.,https://www.jpmorganchase.com,Financial Services,2400000
General Electric Company,https://www.ge.com,Industrial Manufacturing,3300000
